ap_1,ap_2,ap_3,ap_4,ap_5,ap_6,ap_7,ap_8,ap_9,ap_10,ap_11,ap_12,ap_13,ap_14,ap_15,ap_16,ap_17,ap_18,ap_19,ap_20,ap_21,ap_22,ap_23,ap_24,ap_25,ap_26,ap_27,ap_28,ap_29,ap_30,ap_31,ap_32,ap_33,ap_34,ap_35,ap_36,ap_37,ap_38,ap_39,ap_40,ap_41,ap_42,ap_43,ap_44,ap_45,ap_46,ap_47,ap_48,ap_49,ap_50,ap_51,ap_52,ap_53,ap_54,ap_55,ap_56,ap_57,ap_58,ap_59,ap_60,ap_61,ap_62,ap_63,ap_64,ap_65,ap_66,ap_67,ap_68,ap_69,ap_70,spot
-37.0,-41.0,,,,,-93.0,,-74.0,,,,,,,,,,,,,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lobby Belakang_L1
-68.0,-69.0,,-65.0,,-76.0,,-72.0,-79.0,-81.0,-60.0,,,,-59.0,,,,,,,,-92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lobby Belakang_L1
-53.0,-56.0,,-68.0,,-67.0,-82.0,-76.0,-76.0,-76.0,-54.0,,,,-42.0,,,,,,,-85.0,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lobby Belakang_L1
-69.0,-74.0,-62.0,-59.0,-87.0,-35.0,-49.0,-60.0,-75.0,-59.0,-49.0,-74.0,,-73.0,-46.0,,,,,,,-87.0,,,-67.0,,,,,,,,,,,,,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lobby Belakang_L1
-63.0,-58.0,,-76.0,,-77.0,,,-65.0,-85.0,-75.0,,-82.0,,-67.0,,,,,,,,,,,,,,,,,,,,,,-80.0,,,,,-72.0,,-84.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,Lobby Belakang_L1
-52.0,-57.0,-79.0,-64.0,,-75.0,,-74.0,-72.0,,-60.0,-66.0,,-78.0,,-80.0,-78.0,,-54.0,,,-82.0,-92.0,-84.0,,,,,,,,,,,-73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lobby Belakang_L1
-60.0,-69.0,,-69.0,,-77.0,-95.0,-84.0,-54.0,-91.0,-96.0,,,,-80.0,,,,,,,,,,,,,,,,,,,,,,,-97.0,,-90.0,-96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lobby Belakang_L1
-68.0,-74.0,,-58.0,,-73.0,-85.0,-76.0,-40.0,,,,-92.0,,-78.0,,,,,,,,,,,,,,,,,,,,,,-82.0,-87.0,,-82.0,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lobby Belakang_L1
-47.0,-51.0,,-73.0,,-77.0,-88.0,-80.0,-66.0,-88.0,-80.0,,,,-71.0,,,,,,,,,,-94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lobby Belakang_L1
-62.0,-80.0,-87.0,-55.0,,-59.0,-74.0,-68.0,-80.0,-71.0,-47.0,,,,-41.0,,,,,,,,-88.0,,-76.0,,,,,,,,,,,,,,-94.0,,,,-94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lobby Belakang_L1
